woo_code,sap_code,name,city_name,state_code
CL_100,165,ALGARROBO,SAN ANTONIO,5
CL_101,420,ALHUE,MELIPILLA,13
CL_102,299,ALTO BIOBIO,LOS ANGELES,8
CL_103,129,ALTO DEL CARMEN,ALTO DEL CARMEN,3
CL_104,109,ALTO HOSPICIO,IQUIQUE,1
CL_105,365,ANCUD,ANCUD,10
CL_106,133,ANDACOLLO,COQUIMBO,4
CL_107,300,ANGOL,ANGOL,9
CL_108,448,ANTARTICA,ANTARTICA,12
CL_109,114,ANTOFAGASTA,ANTOFAGASTA,2
CL_110,298,ANTUCO,LOS ANGELES,8
CL_111,279,ARAUCO,LEBU,8
CL_112,101,ARICA,ARICA,15
CL_113,374,AYSEN,AYSEN,11
CL_114,444,BUIN,SANTIAGO,13
CL_115,258,BULNES,CONCEPCION,16
CL_116,148,CABILDO,LA LIGUA,5
CL_117,393,CABO DE HORNOS,PUERTO WILLIAMS,12
CL_118,295,CABRERO,LOS ANGELES,8
CL_119,118,CALAMA,CALAMA,2
CL_120,359,CALBUCO,PUERTO MONTT,10
CL_121,124,CALDERA,COPIAPO,3
CL_122,443,CALERA DE TANGO,SANTIAGO,13
CL_123,180,CALLE LARGA,LOS ANDES,5
CL_124,102,CAMARONES,ARICA,15
CL_125,107,CAMINA,POZO ALMONTE,1
CL_126,144,CANELA,ILLAPEL,4
CL_127,283,CANETE,LEBU,8
CL_128,319,CARAHUE,TEMUCO,9
CL_129,162,CARTAGENA,SAN ANTONIO,5
CL_130,155,CASABLANCA,CASABLANCA,5
CL_131,360,CASTRO,CASTRO,10
CL_132,175,CATEMU,SAN FELIPE,5
CL_133,243,CAUQUENES,CAUQUENES,7
CL_134,407,CERRILLOS,SANTIAGO,13
CL_135,404,CERRO NAVIA,SANTIAGO,13
CL_136,370,CHAITEN,CHAITEN,10
CL_137,245,CHANCO,CAUQUENES,7
CL_138,121,CHANARAL,CHANARAL,3
CL_139,208,CHEPICA,SAN FERNANDO,6
CL_140,277,CHIGUAYANTE,CONCEPCION,8
CL_141,377,CHILE CHICO,CHILE CHICO,11
CL_142,246,CHILLAN,CHILLAN,16
CL_143,266,CHILLAN VIEJO,CHILLAN,16
CL_144,201,CHIMBARONGO,SAN FERNANDO,6
CL_145,331,CHOLCHOL,TEMUCO,9
CL_146,361,CHONCHI,CASTRO,10
CL_147,375,CISNES,AYSEN,11
CL_148,252,COBQUECURA,CHILLAN,16
CL_149,352,COCHAMO,PUERTO MONTT,10
CL_150,379,COCHRANE,COCHRANE,11
CL_151,189,CODEGUA,RANCAGUA,6
CL_152,265,COELEMU,CHILLAN,16
CL_153,248,COIHUECO,COIHUECO,16
CL_154,198,COINCO,RANCAGUA,6
CL_155,237,COLBUN,LINARES,7
CL_156,108,COLCHANE,POZO ALMONTE,1
CL_157,408,COLINA,SANTIAGO,13
CL_158,304,COLLIPULLI,ANGOL,9
CL_159,188,COLTAUCO,RANCAGUA,6
CL_160,139,COMBARBALA,COMBARBALA,4
CL_161,267,CONCEPCION,CONCEPCION,8
CL_162,402,CONCHALI,SANTIAGO,13
CL_163,159,CONCON,VIÑA DEL MAR,5
CL_164,232,CONSTITUCION,TALCA,7
CL_165,284,CONTULMO,LEBU,8
CL_166,123,COPIAPO,COPIAPO,3
CL_167,132,COQUIMBO,COQUIMBO,4
CL_168,273,CORONEL,CONCEPCION,8
CL_169,337,CORRAL,VALDIVIA,14
CL_170,382,COYHAIQUE,COYHAIQUE,11
CL_171,314,CUNCO,CUNCO,9
CL_172,309,CURACAUTIN,MALLECO,9
CL_173,418,CURACAVI,CURACAVI,13
CL_174,368,CURACO DE VELEZ,CASTRO,10
CL_175,280,CURANILAHUE,LEBU,8
CL_176,328,CURARREHUE,TEMUCO,9
CL_177,231,CUREPTO,CUREPTO,7
CL_178,216,CURICO,CURICO,7
CL_179,367,DALCAHUE,CASTRO,10
CL_180,122,DIEGO DE ALMAGRO,CHANARAL,3
CL_181,187,DONIHUE,RANCAGUA,6
CL_182,438,EL BOSQUE,SANTIAGO,13
CL_183,263,EL CARMEN,CHILLAN,16
CL_184,413,EL MONTE,SANTIAGO,13
CL_185,164,EL QUISCO,SAN ANTONIO,5
CL_186,163,EL TABO,SAN ANTONIO,5
CL_187,233,EMPEDRADO,TALCA,7
CL_188,305,ERCILLA,ANGOL,9
CL_189,405,ESTACION CENTRAL,SANTIAGO,13
CL_190,270,FLORIDA,CONCEPCION,8
CL_191,313,FREIRE,TEMUCO,9
CL_192,127,FREIRINA,VALLENAR,3
CL_193,354,FRESIA,PUERTO MONTT,10
CL_194,355,FRUTILLAR,PUERTO MONTT,10
CL_195,372,FUTALEUFU,CHAITEN,10
CL_196,336,FUTRONO,LA UNION,14
CL_197,317,GALVARINO,TEMUCO,9
CL_198,111,GENERAL LAGOS,PUTRE,15
CL_199,322,GORBEA,TEMUCO,9
CL_200,185,GRANEROS,RANCAGUA,6
CL_201,376,GUAITECAS,AYSEN,11
CL_202,168,HIJUELAS,QUILLOTA,5
